,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
0,2025,120.3,120.8,121.2,121.7,,,,,,,,,
1,2024,117.6,118.1,118.6,119.2,119.3,119.4,119.8,119.7,119.7,120.2,119.9,120.5,119.3
2,2023,114.3,115.2,116.1,116.6,116.5,116.8,117.1,117.5,117.8,117.8,117.3,117.4,116.7
3,2022,105.2,106.0,108.1,108.8,109.8,109.8,110.3,110.7,112.7,113.5,113.7,113.2,110.2
4,2021,101.0,101.6,102.1,102.4,102.6,102.9,103.4,103.5,103.8,104.3,104.5,104.7,103.1
5,2020,99.8,100.1,100.3,100.4,100.4,100.5,99.7,99.7,99.7,99.9,99.7,99.8,100.0
6,2019,103.4,103.8,104.2,105.2,105.4,105.7,106.2,106.0,106.0,106.1,105.3,105.8,105.3
7,2018,102.0,102.3,102.9,103.1,103.9,104.0,104.4,104.5,104.7,104.9,104.2,104.2,103.8
8,2017,100.6,101.2,101.4,101.8,101.8,102.1,102.5,102.6,102.7,102.5,102.1,102.6,102.0
9,2016,99.0,99.3,100.0,100.1,100.6,100.7,101.1,101.0,101.0,101.2,100.5,101.2,100.5
10,2015,98.5,99.2,99.7,100.2,100.4,100.4,100.6,100.6,100.4,100.4,99.7,99.7,100.0
11,2014,98.8,99.2,99.5,99.4,99.2,99.5,99.7,99.8,99.8,99.5,99.5,99.5,99.4
12,2013,97.4,98.0,98.4,98.0,98.4,98.5,98.9,98.9,98.9,98.7,98.9,99.3,98.5
13,2012,95.8,96.5,97.1,96.9,96.8,96.7,97.1,97.4,97.5,97.5,97.6,97.9,97.1
14,2011,93.9,94.5,95.0,95.1,95.0,95.1,95.3,95.4,95.6,95.6,95.7,96.0,95.2
15,2010,92.3,92.7,93.2,93.2,93.2,93.2,93.3,93.4,93.3,93.4,93.6,94.1,93.2
16,2009,91.7,92.2,92.0,92.1,92.0,92.3,92.3,92.5,92.2,92.3,92.1,92.9,92.2
17,2008,90.8,91.2,91.7,91.5,92.0,92.3,92.8,92.5,92.4,92.2,91.8,92.1,91.9
18,2007,88.3,88.7,88.9,89.3,89.3,89.4,89.8,89.7,89.9,90.1,90.6,91.1,89.6
19,2006,86.8,87.2,87.2,87.5,87.5,87.7,88.0,87.9,87.6,87.6,87.6,88.3,87.6
20,2005,85.3,85.6,86.0,85.8,85.9,86.1,86.4,86.5,86.6,86.7,86.4,87.1,86.2
21,2004,84.0,84.2,84.5,84.8,85.0,85.0,85.1,85.2,85.0,85.1,85.0,85.9,84.9
22,2003,83.1,83.6,83.6,83.4,83.2,83.5,83.6,83.6,83.6,83.6,83.4,84.0,83.5
23,2002,82.2,82.5,82.7,82.6,82.7,82.7,82.8,82.7,82.7,82.6,82.3,83.1,82.6
24,2001,80.6,81.0,81.0,81.4,81.7,81.8,81.9,81.7,81.7,81.6,81.4,82.2,81.5
25,2000,79.5,79.5,79.5,79.5,79.5,79.8,80.2,80.0,80.2,80.1,80.2,80.8,79.9
26,1999,78.2,78.3,78.3,78.7,78.7,78.8,79.2,79.1,78.9,78.8,79.0,79.3,78.8
27,1998,78.1,78.2,78.1,78.2,78.3,78.4,78.7,78.5,78.3,78.2,78.2,78.3,78.3
28,1997,77.1,77.2,77.2,77.1,77.3,77.4,78.1,78.1,78.0,77.9,77.9,78.1,77.6
29,1996,75.5,76.0,76.0,76.0,76.1,76.2,76.3,76.3,76.3,76.3,76.2,76.5,76.1
30,1995,74.5,74.9,74.9,75.0,75.0,75.1,75.3,75.3,75.3,75.1,75.1,75.3,75.1
31,1994,72.8,73.4,73.5,73.6,73.8,73.9,74.0,74.2,74.0,73.9,74.0,74.2,73.8
32,1993,70.7,71.2,71.4,71.6,71.7,71.9,72.3,72.3,72.2,72.2,72.3,72.5,71.9
33,1992,67.6,68.0,68.3,68.5,68.7,68.9,69.1,69.1,69.1,69.1,69.4,69.5,68.8
34,1991,64.0,64.3,64.3,64.5,64.7,65.1,65.8,65.8,65.8,66.9,67.1,67.2,65.5
